latitude,longitude,sst,sss,d18osw
-14.312234,145.062504,26.913885,34.334343,0.216476
-14.312234,146.187504,26.571651,34.342918,0.219327
-14.312234,147.312504,26.598616,34.316578,0.213856
-14.312234,148.437504,26.804974,34.299225,0.209899
-14.312234,149.562504,26.903721,34.286083,0.206814
-14.038305,91.062503,26.525631,34.001705,0.099796
-14.038305,92.187503,26.578489,33.977665,0.093209
-14.038305,93.312503,26.618927,33.959309,0.087854
-14.038305,94.437503,26.651239,33.946526,0.083489
-14.038305,95.562503,26.678953,33.935200,0.079461
-14.038305,96.687503,26.711531,33.926971,0.076183
-14.038305,97.812503,26.740107,33.919521,0.073178
-14.038305,98.937503,26.774828,33.916489,0.071233
-14.038305,100.062503,26.807800,33.916187,0.070044
-14.038305,101.187503,26.843639,33.919525,0.069620
-14.038305,102.312503,26.884991,33.925125,0.069842
-14.038305,103.437503,26.930246,33.931705,0.070340
-14.038305,104.562503,26.989681,33.941437,0.071556
-14.038305,105.687503,27.067688,33.952282,0.073336
-14.038305,106.812503,27.168697,33.963856,0.075700
-14.038305,107.937503,27.284704,33.974991,0.078273
-14.038305,109.062503,27.416300,33.984592,0.080432
-14.038305,110.187503,27.546841,33.992714,0.082080
-14.038305,111.312503,27.686666,33.996792,0.082608
-14.038305,112.437503,27.826527,33.992676,0.080611
-14.038305,113.562503,27.956699,33.977505,0.075109
-14.038305,114.687503,28.088074,33.951038,0.066500
-14.038305,115.812503,28.202780,33.919071,0.056815
-14.038305,116.937503,28.320210,33.886314,0.046871
-14.038305,118.062503,28.426016,33.858398,0.039033
-14.038305,119.187503,28.529663,33.825722,0.029233
-14.038305,120.312503,28.617527,33.767578,0.012051
-14.038305,121.437503,28.637550,33.651810,-0.019803
-14.038305,122.562503,28.489424,33.530563,-0.053647
-14.038305,123.687503,28.642513,33.351604,-0.103699
-14.038305,124.812503,28.762447,33.142532,-0.160181
-14.038305,125.937504,28.770622,32.849163,-0.235832
-14.038305,128.187504,28.533619,31.301146,-0.606068
-14.038305,129.312504,28.337885,31.147861,-0.646929
-14.038305,136.062504,27.770241,31.297548,-0.585435
-14.038305,137.187504,27.778061,31.300293,-0.569972
-14.038305,138.312504,27.810513,31.304800,-0.557928
-14.038305,139.437504,27.834229,31.331848,-0.546182
-14.038305,140.562504,27.898956,31.336853,-0.542910
-14.038305,143.937504,27.277893,34.326557,0.212724
-14.038305,145.062504,26.893026,34.331112,0.216004
-14.038305,146.187504,26.601589,34.335690,0.217761
-14.038305,147.312504,26.640400,34.312469,0.213123
-14.038305,148.437504,26.833986,34.300079,0.210509
-14.038305,149.562504,26.936102,34.287266,0.207766
-13.766068,91.062503,26.654251,33.992870,0.098380
-13.766068,92.187503,26.712971,33.966660,0.091253
-13.766068,93.312503,26.758272,33.946011,0.085109
-13.766068,94.437503,26.794044,33.931137,0.080037
-13.766068,95.562503,26.821083,33.918186,0.075412
-13.766068,96.687503,26.851681,33.908630,0.071651
-13.766068,97.812503,26.877218,33.899994,0.068196
-13.766068,98.937503,26.907553,33.896152,0.065868
-13.766068,100.062503,26.933867,33.895454,0.064342
-13.766068,101.187503,26.962540,33.898983,0.063937
-13.766068,102.312503,26.996576,33.905048,0.064138
-13.766068,103.437503,27.034426,33.912384,0.064829
-13.766068,104.562503,27.085945,33.923138,0.066294
-13.766068,105.687503,27.155098,33.935375,0.068376
-13.766068,106.812503,27.248043,33.948509,0.071037
-13.766068,107.937503,27.358849,33.960918,0.073998
-13.766068,109.062503,27.485508,33.971405,0.076377
-13.766068,110.187503,27.610350,33.980209,0.078361
-13.766068,111.312503,27.744148,33.984756,0.078937
-13.766068,112.437503,27.877975,33.980511,0.077132
-13.766068,113.562503,28.001915,33.964108,0.071737
-13.766068,114.687503,28.125662,33.935017,0.062701
-13.766068,115.812503,28.230810,33.899361,0.052509
-13.766068,116.937503,28.337305,33.863636,0.042378
-13.766068,118.062503,28.431763,33.835110,0.034463
-13.766068,119.187503,28.526173,33.806572,0.026229
-13.766068,120.312503,28.609791,33.759052,0.011425
-13.766068,121.437503,28.640882,33.658543,-0.017037
-13.766068,122.562503,28.524435,33.541843,-0.050488
-13.766068,123.687503,28.610912,33.375717,-0.098004
-13.766068,124.812503,28.722025,33.161430,-0.156105
-13.766068,125.937504,28.734301,32.832844,-0.240041
-13.766068,127.062504,28.607706,32.228439,-0.389557
-13.766068,128.187504,28.532774,31.503824,-0.558860
-13.766068,129.312504,28.356133,31.261860,-0.619706
-13.766068,136.062504,27.777206,31.301935,-0.583939
-13.766068,137.187504,27.785822,31.328896,-0.562570
-13.766068,138.312504,27.794510,31.329573,-0.552379
-13.766068,139.437504,27.820927,31.344137,-0.543733
-13.766068,140.562504,27.890234,31.339907,-0.542714
-13.766068,143.937504,27.271217,34.323322,0.213190
-13.766068,145.062504,26.866827,34.327953,0.215513
-13.766068,146.187504,26.624516,34.329384,0.216565
-13.766068,147.312504,26.678333,34.309258,0.212516
-13.766068,148.437504,26.858847,34.300392,0.211154
-13.766068,149.562504,26.967152,34.288265,0.208620
-13.495278,91.062503,26.778276,33.984665,0.097419
-13.495278,92.187503,26.842602,33.956097,0.089577
-13.495278,93.312503,26.892902,33.933052,0.082645
-13.495278,94.437503,26.932211,33.915836,0.076940
-13.495278,95.562503,26.959095,33.900940,0.071746
-13.495278,96.687503,26.988049,33.889687,0.067211
-13.495278,97.812503,27.011095,33.879391,0.063211
-13.495278,98.937503,27.037527,33.874367,0.060337
-13.495278,100.062503,27.057880,33.872822,0.058501
-13.495278,101.187503,27.080067,33.876167,0.057899
-13.495278,102.312503,27.107298,33.882431,0.058160
-13.495278,103.437503,27.138361,33.890312,0.058863
-13.495278,104.562503,27.182365,33.901966,0.060535
-13.495278,105.687503,27.242249,33.915497,0.062839
-13.495278,106.812503,27.326082,33.930256,0.065911
