latitude,longitude,sst,sss,d18osw
-14.038305,115.812503,25.373250,34.120492,0.868942
-14.038305,116.937503,25.514500,34.054802,0.854777
-14.038305,118.062503,25.636620,33.950334,0.830377
-14.038305,119.187503,25.726159,33.775742,0.788562
-14.038305,120.312503,25.812314,33.521997,0.727778
-14.038305,121.437503,25.894426,33.248858,0.663605
-14.038305,122.562503,26.052522,33.017569,0.610733
-14.038305,123.687503,26.141690,32.840287,0.569371
-14.038305,145.062504,23.569125,34.410915,1.117159
-14.038305,146.187504,23.273575,34.472124,1.138866
-14.038305,147.312504,23.243665,34.434239,1.130170
-14.038305,148.437504,23.387099,34.385306,1.116290
-14.038305,149.562504,23.473873,34.370670,1.114149
-13.766068,91.062503,23.601664,34.214696,0.883259
-13.766068,92.187503,23.597392,34.207887,0.879193
-13.766068,93.312503,23.619492,34.197202,0.874996
-13.766068,94.437503,23.667647,34.183890,0.870869
-13.766068,95.562503,23.721266,34.171565,0.867812
-13.766068,96.687503,23.759131,34.163015,0.865322
-13.766068,97.812503,23.797905,34.155616,0.863530
-13.766068,98.937503,23.845150,34.148312,0.861510
-13.766068,100.062503,23.893313,34.141123,0.859903
-13.766068,101.187503,23.940683,34.134166,0.857872
-13.766068,102.312503,23.998899,34.124597,0.855099
-13.766068,103.437503,24.073613,34.112324,0.851595
-13.766068,104.562503,24.144374,34.102608,0.848568
-13.766068,105.687503,24.207365,34.095064,0.845920
-13.766068,106.812503,24.288833,34.088497,0.843481
-13.766068,107.937503,24.394010,34.082385,0.842209
-13.766068,109.062503,24.526326,34.082285,0.843449
-13.766068,110.187503,24.654515,34.090829,0.847908
-13.766068,111.312503,24.792874,34.103460,0.853885
-13.766068,112.437503,24.938746,34.116015,0.860124
-13.766068,113.562503,25.086525,34.121438,0.864618
-13.766068,114.687503,25.242560,34.110556,0.864584
-13.766068,115.812503,25.388070,34.076482,0.858508
-13.766068,116.937503,25.522738,34.010701,0.844264
-13.766068,118.062503,25.640184,33.912257,0.821335
-13.766068,119.187503,25.731446,33.753153,0.783289
-13.766068,120.312503,25.822665,33.517089,0.726690
-13.766068,121.437503,25.903146,33.241300,0.661790
-13.766068,122.562503,26.035892,33.004449,0.607168
-13.766068,123.687503,26.114263,32.836556,0.568730
-13.766068,143.937504,23.911522,34.324006,1.086939
-13.766068,145.062504,23.558360,34.404221,1.114370
-13.766068,146.187504,23.295106,34.457870,1.133806
-13.766068,147.312504,23.283414,34.418216,1.124146
-13.766068,148.437504,23.421465,34.372126,1.111422
-13.766068,149.562504,23.514269,34.354412,1.108107
-13.495278,91.062503,23.697589,34.190453,0.876335
-13.495278,92.187503,23.695192,34.183417,0.872456
-13.495278,93.312503,23.717596,34.172804,0.868176
-13.495278,94.437503,23.768328,34.159050,0.864098
-13.495278,95.562503,23.825324,34.145583,0.860452
-13.495278,96.687503,23.867838,34.135788,0.857766
-13.495278,97.812503,23.909356,34.127149,0.855437
-13.495278,98.937503,23.959009,34.118609,0.853295
-13.495278,100.062503,24.009430,34.109927,0.851071
-13.495278,101.187503,24.057441,34.101839,0.848857
-13.495278,102.312503,24.113344,34.091794,0.845871
-13.495278,103.437503,24.184957,34.079180,0.842513
-13.495278,104.562503,24.253137,34.069110,0.839592
-13.495278,105.687503,24.310952,34.061871,0.837460
-13.495278,106.812503,24.381604,34.056563,0.835504
-13.495278,107.937503,24.476757,34.051782,0.834781
-13.495278,109.062503,24.598487,34.051904,0.836313
-13.495278,110.187503,24.718286,34.059310,0.840618
-13.495278,111.312503,24.848127,34.069695,0.846032
-13.495278,112.437503,24.984285,34.078688,0.851396
-13.495278,113.562503,25.122255,34.079578,0.854529
-13.495278,114.687503,25.268495,34.063980,0.853475
-13.495278,115.812503,25.405649,34.025488,0.846133
-13.495278,116.937503,25.534052,33.957079,0.831103
-13.495278,118.062503,25.646451,33.861214,0.808881
-13.495278,119.187503,25.737114,33.715828,0.774383
-13.495278,120.312503,25.828613,33.504865,0.723547
-13.495278,121.437503,25.903288,33.232898,0.659469
-13.495278,122.562503,26.007225,32.996029,0.604917
-13.495278,123.687503,26.082580,32.823924,0.565870
-13.495278,143.937504,23.906555,34.311342,1.082666
-13.495278,145.062504,23.538663,34.398968,1.112317
-13.495278,146.187504,23.314560,34.444281,1.128776
-13.495278,147.312504,23.321911,34.403878,1.118833
-13.495278,148.437504,23.454957,34.358057,1.106260
-13.495278,149.562504,23.554998,34.337165,1.102182
-13.225689,91.062503,23.792071,34.167591,0.869998
-13.225689,92.187503,23.792790,34.160189,0.866083
-13.225689,93.312503,23.816277,34.149481,0.861965
-13.225689,94.437503,23.869223,34.135301,0.857588
-13.225689,95.562503,23.929252,34.120839,0.853636
-13.225689,96.687503,23.976846,34.109861,0.850575
-13.225689,97.812503,24.021174,34.099948,0.847899
-13.225689,98.937503,24.073065,34.090227,0.845300
-13.225689,100.062503,24.125303,34.080162,0.842773
-13.225689,101.187503,24.174324,34.070903,0.840135
-13.225689,102.312503,24.228069,34.060336,0.837357
-13.225689,103.437503,24.296142,34.047429,0.833918
-13.225689,104.562503,24.361457,34.037000,0.831191
-13.225689,105.687503,24.414876,34.029766,0.829124
